id,address,categories,city,country,keys,latitude,longitude,name,postalCode,province
AVwdQloekufWRAb54Asw,3121 Yosemite Blvd,"Asian Restaurants,Caterers,Chinese Restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants",Modesto,US,us/ca/modesto/3121yosemiteblvd/1235262340,37.6386,-120.9367,Fat Wong Chinese Food To Go,95354,CA
AVwdMBXWByjofQCxmbTu,8256 Orion Ave,"Mexican Restaurant,Restaurant,Mexican Restaurants,Mexican,Breakfast,Vegetarian,Fast Food Restaurant,Fast Food Restaurants,Fast Food,Cafes,Restaurants",Van Nuys,US,us/ca/vannuys/8256orionave/-864103396,34.2208,-118.4719,Taco Bell,91406,CA
AWmf_r7xIxWefVJwMY1g,990 N. Western Ave.,"Mexican,Breakfast,Vegetarian,Fast Food,Restaurants",Los Angeles,US,us/ca/losangeles/990n.westernave./-864103396,34.0883,-118.3088,Taco Bell,90029,CA
AVzRVrGg3D1zeR_xBV5l,1140 Hamner Avenue,"Mexican Restaurant,Restaurant,Mexican,Breakfast,Mexican Restaurants,Vegetarian,Fast Food Restaurant,Fast Food,Fast Food Restaurants,Restaurants",Norco,US,us/ca/norco/1140hamneravenue/-864103396,33.8993,-117.5631,Taco Bell,92860,CA
AVwc8EmJIN2L1WUfqijA,1066 Harriman Pl,"Mexican Restaurant,Carry-out food,Restaurant,Wings Joint,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Fast Food Restaurant, Mexican Restaurant, and Wings Joint,Restaurants",San Bernardino,US,us/ca/sanbernardino/1066harrimanpl/-981164808,34.067,-117.2617,El Pollo Loco,92408,CA
AVwcszIAByjofQCxhODg,1950 Yosemite Pkwy,"Pizza,Carry-out food,Fast Food Restaurants,Food Delivery Service,Restaurants",Merced,US,us/ca/merced/1950yosemitepkwy/568331704,37.2951,-120.4518,Mountain Mike's Pizza,95341,CA
AVwc8n4nkufWRAb50tig,3309 Tweedy Blvd,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,American,Burgers,Hamburger restaurants,Fast Food,Fast Food Restaurant and Burger Joint,Restaurants,Frozen Yogurt Shops,Restaurant,Burger Joint,Fast Food Restaurant,Coffeehouses,Salads,Fast food restaurants,Hamburgers,Sandwich Shops",South Gate,US,us/ca/southgate/3309tweedyblvd/-1161002137,33.9451,-118.2115,McDonald's,90280,CA
AVwd-lDwkufWRAb5-7IT,5475 Snell Ave,"Carry-out food,Pizza Restaurants,Take Out,Italian,Caterers,Restaurant delivery service,Chicken Wings,Steak and chop restaurants,Food Delivery,American restaurants,Fast Food,Home delivery beer and beverages,Restaurants,Pizza Delivery,Pizza,Restaurant,Barbecued poultry,Pizza Place,Barbecue,Concession Stands,Spare rib restaurants,Catering,Chicken restaurants",San Jose,US,us/ca/sanjose/5475snellave/-66712705,37.2538,-121.8312,Pizza Hut,95123,CA
AVwc85qS_7pvs4fz0s7-,3227 S White Rd,"Carry-out food,Pizza Restaurants,Take Out,Caterers,Restaurant delivery service,Italian,Chicken Wings,Food Delivery,American restaurants,Fast Food,Home delivery beer and beverages,Restaurants,Pizza Delivery,Pizza,Restaurant,Pizza Place,Concession Stands,Catering,Family Restaurants",San Jose,US,us/ca/sanjose/3227swhiterd/-66712705,37.3158,-121.7936,Pizza Hut,95148,CA
AV12lWrIRxPSIh2Rcvj9,1628 Broadway,"Delis And Delicatessens,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",Eureka,US,us/ca/eureka/1628broadway/-891525969,40.7926,-124.1789,SUBWAY,95501,CA
